short name,reference product,ecoinvent name,sector,direct process
"hydrogen, biomethane, CCS","hydrogen, gaseous, 26 bar","hydrogen production, steam methane reforming, from biomethane, high and low temperature, with CCS (MDEA, 98% eff.), 26 bar",hydrogen and gases,
brine-water heat pump,"heat, brine-water heat pump 10kW","heat production, borehole heat exchanger, brine-water heat pump 10kW",residential heating,
air-water heat pump,"heat, air-water heat pump 10kW","heat production, air-water heat pump 10kW",residential heating,
"oil boiler, condensing","heat, central or small-scale, other than natural gas","heat production, light fuel oil, at boiler 10kW condensing, non-modulating",residential heating,technosphere
"oil boiler","heat, central or small-scale, other than natural gas","heat production, light fuel oil, at boiler 10kW, non-modulating",residential heating,technosphere
"lignite briquette stove","heat, central or small-scale, other than natural gas","heat production, lignite briquette, at stove 5-15kW",residential heating,
"hard coal briquette stove","heat, central or small-scale, other than natural gas","heat production, hard coal briquette, stove 5-15kW",residential heating,
"anthracite stove","heat, central or small-scale, other than natural gas","heat production, anthracite, at stove 5-15kW",residential heating,
"wood heater, modern","heat, central or small-scale, other than natural gas","heat production, mixed logs, at wood heater 6kW, state-of-the-art 2014",residential heating,
"wood heater","heat, central or small-scale, other than natural gas","heat production, mixed logs, at wood heater 6kW",residential heating,
"natural gas boiler","heat, central or small-scale, natural gas","heat production, natural gas, at boiler condensing modulating <100kW",residential heating,technosphere
"biomethane boiler","heat, central or small-scale, biomethane","heat production, biomethane, at boiler condensing modulating <100kW",residential heating,
"diffusion adsorption heat pump","heat, future","heat production, natural gas, at diffusion absorption heat pump 4kW, future",residential heating,technosphere
"hard coal heating plant","heat, district or industrial, other than natural gas","heat production, at hard coal industrial furnace 1-10MW","district or industrial heat",
"hardwood heating plant","heat, district or industrial, other than natural gas","heat production, hardwood chips from forest, at furnace 5000kW","district or industrial heat",
"hardwood heating plant, modern","heat, district or industrial, other than natural gas","heat production, hardwood chips from forest, at furnace 5000kW, state-of-the-art 2014","district or industrial heat",
"heavy fuel oil heating plant","heat, district or industrial, other than natural gas","heat production, heavy fuel oil, at industrial furnace 1MW","district or industrial heat",
"light fuel oil heating plant","heat, district or industrial, other than natural gas","heat production, light fuel oil, at industrial furnace 1MW","district or industrial heat",technosphere
"natural gas heating plant","heat, district or industrial, natural gas","heat production, natural gas, at boiler condensing modulating >100kW","district or industrial heat",technosphere
"softwood heating plant","heat, district or industrial, other than natural gas","heat production, softwood chips from forest, at furnace 5000kW, state-of-the-art 2014","district or industrial heat",technosphere
"industry wood chips heating plant","heat, district or industrial, other than natural gas","heat production, wood chips from industry, at furnace 5000kW, state-of-the-art 2014","district or industrial heat",
"geothermal heat plant","heat, deep geothermal","heat production, deep geothermal","district or industrial heat",
