name,categories,amount,code,ecoinvent name
Nickel II,air::lower stratosphere + upper troposphere,1.48e-09,0545c382-2312-43b6-9ec3-63dbb1438565,"kerosene production, petroleum refinery operation"
Nickel II,air::non-urban air or from high stacks,1.44e-10,e8fc62ba-678e-4706-97d2-b79d83e227d5,"kerosene production, petroleum refinery operation"
Nitrogen oxides,air::lower stratosphere + upper troposphere,0.000300067,4841a0fe-c250-4a39-94a1-1bc31426c0f1,"kerosene production, petroleum refinery operation"
Nitrogen oxides,air::non-urban air or from high stacks,2.91e-05,77357947-ccc5-438e-9996-95e65e1e1bce,"kerosene production, petroleum refinery operation"
"Particulate Matter, < 2.5 um",air::lower stratosphere + upper troposphere,3.9e-06,ddd99a3a-be86-423d-b36a-a9dc8af1b1f8,"kerosene production, petroleum refinery operation"
"Particulate Matter, < 2.5 um",air::non-urban air or from high stacks,3.78e-07,66f50b33-fd62-4fdd-a373-c5b0de7de00d,"kerosene production, petroleum refinery operation"
Selenium IV,air::lower stratosphere + upper troposphere,2.12e-10,fbfabc26-84d9-46cd-9d1b-1a0060325b64,"kerosene production, petroleum refinery operation"
Selenium IV,air::non-urban air or from high stacks,2.06e-11,e6551223-73b6-4289-b841-c5cdeb25abd9,"kerosene production, petroleum refinery operation"
Sulfur dioxide,air::lower stratosphere + upper troposphere,1.78e-05,16521d00-4b6f-464f-b5dd-8da4a27b15ca,"kerosene production, petroleum refinery operation"
Sulfur dioxide,air::non-urban air or from high stacks,1.73e-06,78c3efe4-421c-4d30-82e4-b97ac5124993,"kerosene production, petroleum refinery operation"
Water,air::lower stratosphere + upper troposphere,1.62e-07,f14b59ff-d438-442d-8bad-b53694b8263a,"kerosene production, petroleum refinery operation"
Water,air::non-urban air or from high stacks,1.57e-08,09872080-d143-4fb1-a3a5-647b077107ff,"kerosene production, petroleum refinery operation"
Zinc II,air::lower stratosphere + upper troposphere,2.12e-07,87a69874-34f9-4070-a525-aa301ab2634b,"kerosene production, petroleum refinery operation"
Zinc II,air::non-urban air or from high stacks,2.06e-08,ada3ecfe-8244-4389-bcce-e83ca4f66e09,"kerosene production, petroleum refinery operation"
1-Pentene,air::urban air close to ground,1.45e-07,8cbaa905-41b0-4327-8403-bf1c8eb25429,"petrol production, unleaded, petroleum refinery operation"
2-Methylpentane,air::urban air close to ground,2.36e-06,d5649872-502b-4d23-b882-26d74a9fc4b4,"petrol production, unleaded, petroleum refinery operation"
Acetaldehyde,air::urban air close to ground,6.42e-08,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,"petrol production, unleaded, petroleum refinery operation"
Acetone,air::urban air close to ground,5.22e-08,1f130425-11f9-4ec2-8d2f-d282acaacf5c,"petrol production, unleaded, petroleum refinery operation"
Acrolein,air::urban air close to ground,1.63e-08,7ed6dc0d-9c2e-4046-a44b-e8a708c2081e,"petrol production, unleaded, petroleum refinery operation"
Ammonia,air::urban air close to ground,7.04e-07,9990b51b-7023-4700-bca0-1a32ef921f74,"petrol production, unleaded, petroleum refinery operation"
Benzaldehyde,air::urban air close to ground,1.88e-08,fe65f7e4-ee5b-4a6f-9d60-6c2f829dca3f,"petrol production, unleaded, petroleum refinery operation"
Benzene,air::urban air close to ground,1.29e-06,1bb6a502-3ff9-4a79-835c-5588b855f1f5,"petrol production, unleaded, petroleum refinery operation"
Butane,air::urban air close to ground,2.42e-06,892f10da-7bf2-42b3-b171-221989661a05,"petrol production, unleaded, petroleum refinery operation"
Cadmium II,air::urban air close to ground,2.35e-10,36e53653-1338-42c7-816c-f6667809e0b1,"petrol production, unleaded, petroleum refinery operation"
"Carbon dioxide, fossil",air::urban air close to ground,0.074647887,f9749677-9c9f-4678-ab55-c607dfdc2cb9,"petrol production, unleaded, petroleum refinery operation"
"Carbon monoxide, fossil",air::urban air close to ground,0.000128226,6edcc2df-88a3-48e1-83d8-ffc38d31c35b,"petrol production, unleaded, petroleum refinery operation"
Chromium III,air::urban air close to ground,1.17e-09,7705f0e1-5b14-44f4-b330-1245b5c7fc08,"petrol production, unleaded, petroleum refinery operation"
Chromium VI,air::urban air close to ground,2.35e-12,7a59e8d5-cd11-4ee7-b1ca-30979d2b0b3a,"petrol production, unleaded, petroleum refinery operation"
Copper ion,air::urban air close to ground,3.99e-08,88cde01c-df69-40bb-9b14-6eac71bea5b8,"petrol production, unleaded, petroleum refinery operation"
Cyclohexane (for all cycloalkanes),air::urban air close to ground,9.76e-08,2a042136-80fd-4c1c-8996-65a7985497d3,"petrol production, unleaded, petroleum refinery operation"
Dinitrogen monoxide,air::urban air close to ground,3.05e-06,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,"petrol production, unleaded, petroleum refinery operation"
Ethane,air::urban air close to ground,3.74e-07,9ea11aea-7cb7-4b38-b936-a42c2a4bac97,"petrol production, unleaded, petroleum refinery operation"
Ethylene,air::urban air close to ground,8.42e-09,36270548-9316-424b-9aeb-e0de134b0be1,"petrol production, unleaded, petroleum refinery operation"
Ethylene oxide,air::urban air close to ground,6.25e-07,4446c2d0-1bc1-422f-9b97-0867d5602dbb,"petrol production, unleaded, petroleum refinery operation"
Formaldehyde,air::urban air close to ground,1.45e-07,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,"petrol production, unleaded, petroleum refinery operation"
Heptane,air::urban air close to ground,6.33e-08,f4bb66f1-c78c-409f-8368-85c1205a3573,"petrol production, unleaded, petroleum refinery operation"
Hexane,air::urban air close to ground,1.38e-07,3bbc78d0-08c4-48ef-a863-704e32fddcb3,"petrol production, unleaded, petroleum refinery operation"
Lead II,air::urban air close to ground,3.52e-11,6a903634-c97f-4c49-a7c0-88f0e6ac7a23,"petrol production, unleaded, petroleum refinery operation"
Mercury II,air::urban air close to ground,1.64e-12,a850e6de-a007-432f-be7f-ce6e2cf1f2ae,"petrol production, unleaded, petroleum refinery operation"
"Methane, fossil",air::urban air close to ground,5.76e-06,5f7aad3d-566c-4d0d-ad59-e765f971aa0f,"petrol production, unleaded, petroleum refinery operation"
Methyl ethyl ketone,air::urban air close to ground,4.28e-09,26b5c174-e20e-430a-a4b1-44de4af8b40f,"petrol production, unleaded, petroleum refinery operation"
"NMVOC, non-methane volatile organic compounds",air::urban air close to ground,2.18e-05,175baa64-d985-4c5e-84ef-67cc3a1cf952,"petrol production, unleaded, petroleum refinery operation"
Nickel II,air::urban air close to ground,1.64e-09,e43a270f-4f88-4789-a0b8-7aba56677743,"petrol production, unleaded, petroleum refinery operation"
Nitrogen oxides,air::urban air close to ground,1.04e-05,d068f3e2-b033-417b-a359-ca4f25da9731,"petrol production, unleaded, petroleum refinery operation"
"PAH, polycyclic aromatic hydrocarbons",air::urban air close to ground,8.17e-10,9d1efa17-070a-4602-a65f-daf5056b0647,"petrol production, unleaded, petroleum refinery operation"
"Particulate Matter, < 2.5 um",air::urban air close to ground,3.31e-07,230d8a0a-517c-43fe-8357-1818dd12997a,"petrol production, unleaded, petroleum refinery operation"
Pentane,air::urban air close to ground,2.78e-06,0b9698ec-8b52-4986-8f9f-ad30915aa00c,"petrol production, unleaded, petroleum refinery operation"
Propane,air::urban air close to ground,1.79e-06,98c66fdb-091d-46e9-a533-686f821e8f6a,"petrol production, unleaded, petroleum refinery operation"
Propene,air::urban air close to ground,4.71e-08,ada09403-d5f2-4496-9201-a6dcca0b1717,"petrol production, unleaded, petroleum refinery operation"
Propylene oxide,air::urban air close to ground,3.27e-07,f276d4ca-b1ad-4575-9442-e35b5e3b618b,"petrol production, unleaded, petroleum refinery operation"
Selenium IV,air::urban air close to ground,2.35e-10,a79be2ee-ac83-4328-a136-a34ba1f99089,"petrol production, unleaded, petroleum refinery operation"
Styrene,air::urban air close to ground,8.64e-08,d85a44cb-8407-4997-a146-581e4f35f39d,"petrol production, unleaded, petroleum refinery operation"
Sulfur dioxide,air::urban air close to ground,4.69e-07,8c52f40c-69b7-4538-8923-b371523c71f5,"petrol production, unleaded, petroleum refinery operation"
Toluene,air::urban air close to ground,2.41e-06,39946c56-cdf6-4a22-9ac9-1cd333b65533,"petrol production, unleaded, petroleum refinery operation"
Zinc II,air::urban air close to ground,2.35e-08,748f22a9-eba4-4726-bef5-92c7442ce189,"petrol production, unleaded, petroleum refinery operation"
m-Xylene,air::urban air close to ground,1.04e-06,10571d92-ea97-4ac6-adb6-b25893a631cb,"petrol production, unleaded, petroleum refinery operation"
o-Xylene,air::urban air close to ground,2.5e-07,5a6eb27d-9157-46d5-be32-92bbd543ada9,"petrol production, unleaded, petroleum refinery operation"
Acetaldehyde,air::urban air close to ground,9.09e-08,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,"diesel production, synthetic, Fischer Tropsch process, from natural gas, energy allocation"
Acrolein,air::urban air close to ground,3.52e-08,7ed6dc0d-9c2e-4046-a44b-e8a708c2081e,"diesel production, synthetic, Fischer Tropsch process, from natural gas, energy allocation"
Ammonia,air::urban air close to ground,2.28e-07,9990b51b-7023-4700-bca0-1a32ef921f74,"diesel production, synthetic, Fischer Tropsch process, from natural gas, energy allocation"
Arsenic ion,air::urban air close to ground,2.33e-12,f4d0a2c8-efef-4188-85da-5801097389a2,"diesel production, synthetic, Fischer Tropsch process, from natural gas, energy allocation"
Benzaldehyde,air::urban air close to ground,2.72e-08,fe65f7e4-ee5b-4a6f-9d60-6c2f829dca3f,"diesel production, synthetic, Fischer Tropsch process, from natural gas, energy allocation"
