First Author§Year of Publication§Title§Target§Country§Central Estimate ($2018)§Unit§DOI or URL
Epstein, P.R.§2011§Full cost accounting for the life cycle of coal§Coal§USA§20.886 §US¢/kWh§10.1111/j.1749-6632.2010.05890.x
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Coal§FIN§7.837 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Peat§FIN§8.609 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§FIN§1.484 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Coal§FRA§15.021 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§FRA§4.987 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Oil§FRA§15.496 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Nuclear§FRA§0.297 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§FRA§0.813 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Hydro§FRA§0.712 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Waste Incineration§FRA§31.764 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Lignite§GRC§14.131 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§GRC§2.084 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Oil§GRC§8.015 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§GRC§0.653 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§GRC§0.261 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§GRC§0.327 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Hydro§GRC§0.606 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Wind§GRC§0.327 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Coal§IRL§12.884 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Peat§IRL§5.165 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
