source name,impact category,estimate,LCIA method,valuation approach,MVC,currency,reference year,impact unit
"Environmental prices, 2018, EU",ecotoxicity: marine,central,"ReCiPe Midpoint (H) V1.13, marine ecotoxicity, METPinf",damage cost,7.39e-03,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2018, EU",ecotoxicity: marine,max,"ReCiPe Midpoint (H) V1.13, marine ecotoxicity, METPinf",damage cost,8.37e-03,Euro,2015,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",climate change,min,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",mixed approach,5e-02,Euro,2021,kg CO2 eq
"Environmental prices, 2023, Netherlands",climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",mixed approach,1.3e-01,Euro,2021,kg CO2 eq
"Environmental prices, 2023, Netherlands",climate change,max,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",mixed approach,1.6e-01,Euro,2021,kg CO2 eq
"Environmental prices, 2023, Netherlands",ozone depletion,min,"ReCiPe 2016 v1.03, midpoint (H), ozone depletion, ozone depletion potential (ODPinfinite)",damage cost,1.52e+01,Euro,2021,kg CFC-11 eq
"Environmental prices, 2023, Netherlands",ozone depletion,central,"ReCiPe 2016 v1.03, midpoint (H), ozone depletion, ozone depletion potential (ODPinfinite)",damage cost,2.91e+01,Euro,2021,kg CFC-11 eq
"Environmental prices, 2023, Netherlands",ozone depletion,max,"ReCiPe 2016 v1.03, midpoint (H), ozone depletion, ozone depletion potential (ODPinfinite)",damage cost,6.96e+01,Euro,2021,kg CFC-11 eq
"Environmental prices, 2023, Netherlands",ionizing radiation,min,"ReCiPe 2016 v1.03, midpoint (H), ionising radiation, ionising radiation potential (IRP)",damage cost,2.75e-03,Euro,2021,kg Co-60 eq
"Environmental prices, 2023, Netherlands",ionizing radiation,central,"ReCiPe 2016 v1.03, midpoint (H), ionising radiation, ionising radiation potential (IRP)",damage cost,4.22e-03,Euro,2021,kg Co-60 eq
"Environmental prices, 2023, Netherlands",ionizing radiation,max,"ReCiPe 2016 v1.03, midpoint (H), ionising radiation, ionising radiation potential (IRP)",damage cost,5.94e-03,Euro,2021,kg Co-60 eq
"Environmental prices, 2023, Netherlands",photochemical oxidant formation: human health,min,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: human health, photochemical oxidant formation potential: humans (HOFP)",,9.9e-01,Euro,2021,kg NOx eq
"Environmental prices, 2023, Netherlands",photochemical oxidant formation: human health,central,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: human health, photochemical oxidant formation potential: humans (HOFP)",,1.70,Euro,2021,kg NOx eq
"Environmental prices, 2023, Netherlands",photochemical oxidant formation: human health,max,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: human health, photochemical oxidant formation potential: humans (HOFP)",,2.21,Euro,2021,kg NOx eq
"Environmental prices, 2023, Netherlands",photochemical oxidant formation: terrestrial ecosystems,min,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: terrestrial ecosystems, photochemical oxidant formation potential: ecosystems (EOFP)",,4.3e-02,Euro,2021,kg NOx eq
"Environmental prices, 2023, Netherlands",photochemical oxidant formation: terrestrial ecosystems,central,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: terrestrial ecosystems, photochemical oxidant formation potential: ecosystems (EOFP)",,4.3e-02,Euro,2021,kg NOx eq
"Environmental prices, 2023, Netherlands",photochemical oxidant formation: terrestrial ecosystems,max,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: terrestrial ecosystems, photochemical oxidant formation potential: ecosystems (EOFP)",,1.53e-01,Euro,2021,kg NOx eq
"Environmental prices, 2023, Netherlands",particulate matter formation,min,"ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)",damage cost,1.012e+02,Euro,2021,kg PM2.5 eq
"Environmental prices, 2023, Netherlands",particulate matter formation,central,"ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)",damage cost,1.680e+02,Euro,2021,kg PM2.5 eq
"Environmental prices, 2023, Netherlands",particulate matter formation,max,"ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)",damage cost,2.350e+02,Euro,2021,kg PM2.5 eq
"Environmental prices, 2023, Netherlands",acidification,min,"ReCiPe 2016 v1.03, midpoint (H), acidification: terrestrial, terrestrial acidification potential (TAP)",damage cost,3.38,Euro,2021,kg SO2 eq
"Environmental prices, 2023, Netherlands",acidification,central,"ReCiPe 2016 v1.03, midpoint (H), acidification: terrestrial, terrestrial acidification potential (TAP)",damage cost,6.46,Euro,2021,kg SO2 eq
"Environmental prices, 2023, Netherlands",acidification,max,"ReCiPe 2016 v1.03, midpoint (H), acidification: terrestrial, terrestrial acidification potential (TAP)",damage cost,1.072e+01,Euro,2021,kg SO2 eq
"Environmental prices, 2023, Netherlands",eutrophication: freshwater,min,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: freshwater, freshwater eutrophication potential (FEP)",damage cost,2.56,Euro,2021,kg P eq
"Environmental prices, 2023, Netherlands",eutrophication: freshwater,central,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: freshwater, freshwater eutrophication potential (FEP)",damage cost,5.53,Euro,2021,kg P eq
"Environmental prices, 2023, Netherlands",eutrophication: freshwater,max,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: freshwater, freshwater eutrophication potential (FEP)",damage cost,1.013e+01,Euro,2021,kg P eq
"Environmental prices, 2023, Netherlands",eutrophication: marine,min,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: marine, marine eutrophication potential (MEP)",abatement cost,7.64,Euro,2021,kg N eq
