fuel name,fuel unit,name,amount,unit,categories,type
"kerosene, aircraft",MJ,Water,1.57e-08,cubic meter,air::non-urban air or from high stacks,biosphere
"kerosene, aircraft",MJ,Zinc II,2.12e-07,kilogram,air::lower stratosphere + upper troposphere,biosphere
"kerosene, aircraft",MJ,Zinc II,2.06e-08,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Ammonia,1.03e-05,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Arsenic ion,9.64e-09,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Cadmium II,6.27e-10,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,"Carbon dioxide, fossil",0.079939099,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,"Carbon monoxide, fossil",6.87e-05,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Chromium III,4e-09,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Copper ion,9.64e-09,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Dinitrogen monoxide,4.08e-06,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",2.56e-14,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Hydrochloric acid,1.5e-06,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Hydrogen fluoride,1.5e-07,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Lead II,4.42e-09,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Mercury II,7.24e-10,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,"Methane, fossil",1.39e-06,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,"NMVOC, non-methane volatile organic compounds",6.94e-05,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Nickel II,5.58e-07,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Nitrogen oxides,0.001912883,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,"PAH, polycyclic aromatic hydrocarbons",5.13e-08,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,"Particulate Matter, < 2.5 um",4.5e-05,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,"Particulate Matter, > 10 um",6.43e-05,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,"Particulate Matter, > 2.5 um and < 10um",5.14e-05,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Selenium IV,8.84e-09,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Sulfur dioxide,0.001165911,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Zinc II,2.03e-08,kilogram,air::non-urban air or from high stacks,biosphere
"heavy fuel oil, container ship",MJ,Copper ion,1.65e-09,kilogram,water::ocean,biosphere
"heavy fuel oil, container ship",MJ,"Fungicides, unspecified",1.58e-10,kilogram,water::ocean,biosphere
"heavy fuel oil, container ship",MJ,"Hydrocarbons, unspecified",4.55e-07,kilogram,water::ocean,biosphere
"heavy fuel oil, container ship",MJ,Thiocyanate,2.64e-11,kilogram,water::ocean,biosphere
"heavy fuel oil, container ship",MJ,Tributyltin compounds,2.42e-10,kilogram,water::ocean,biosphere
