name,categories,amount,code,ecoinvent name
Water,air::non-urban air or from high stacks,0.0001235555555555,09872080-d143-4fb1-a3a5-647b077107ff,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, VRE inputs"
Nitrogen oxides,air::non-urban air or from high stacks,4.285714285714278e-05,77357947-ccc5-438e-9996-95e65e1e1bce,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, VRE inputs"
Hydrogen,air,6.873475806739854e-05,b301fa9a-ba60-4eac-8ccc-6ccbdf099b35,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, VRE inputs"
Water,air::non-urban air or from high stacks,0.0001235555555555,09872080-d143-4fb1-a3a5-647b077107ff,"hydrogen production, steam methane reforming of natural gas, 25 bar"
Nitrogen oxides,air::non-urban air or from high stacks,4.285714285714278e-05,77357947-ccc5-438e-9996-95e65e1e1bce,"hydrogen production, steam methane reforming of natural gas, 25 bar"
Hydrogen,air,6.873475806739854e-05,b301fa9a-ba60-4eac-8ccc-6ccbdf099b35,"hydrogen production, steam methane reforming of natural gas, 25 bar"
Water,air::non-urban air or from high stacks,0.0001235555555555,09872080-d143-4fb1-a3a5-647b077107ff,"hydrogen production, steam methane reforming of natural gas, with CCS (MDEA, 98% eff.), 25 bar"
Nitrogen oxides,air::non-urban air or from high stacks,4.285714285714278e-05,77357947-ccc5-438e-9996-95e65e1e1bce,"hydrogen production, steam methane reforming of natural gas, with CCS (MDEA, 98% eff.), 25 bar"
Hydrogen,air,6.873475806739854e-05,b301fa9a-ba60-4eac-8ccc-6ccbdf099b35,"hydrogen production, steam methane reforming of natural gas, with CCS (MDEA, 98% eff.), 25 bar"
Water,air::non-urban air or from high stacks,0.0001235555555555,09872080-d143-4fb1-a3a5-647b077107ff,"hydrogen production, steam methane reforming, from biomethane, high and low temperature, 26 bar"
Nitrogen oxides,air::non-urban air or from high stacks,4.285714285714278e-05,77357947-ccc5-438e-9996-95e65e1e1bce,"hydrogen production, steam methane reforming, from biomethane, high and low temperature, 26 bar"
Hydrogen,air,6.873475806739854e-05,b301fa9a-ba60-4eac-8ccc-6ccbdf099b35,"hydrogen production, steam methane reforming, from biomethane, high and low temperature, 26 bar"
Water,air::non-urban air or from high stacks,0.0001235555555555,09872080-d143-4fb1-a3a5-647b077107ff,"hydrogen production, steam methane reforming, from biomethane, high and low temperature, with CCS (MDEA, 98% eff.), 26 bar"
Nitrogen oxides,air::non-urban air or from high stacks,4.285714285714278e-05,77357947-ccc5-438e-9996-95e65e1e1bce,"hydrogen production, steam methane reforming, from biomethane, high and low temperature, with CCS (MDEA, 98% eff.), 26 bar"
Hydrogen,air,6.873475806739854e-05,b301fa9a-ba60-4eac-8ccc-6ccbdf099b35,"hydrogen production, steam methane reforming, from biomethane, high and low temperature, with CCS (MDEA, 98% eff.), 26 bar"
